file,lines,classes,functions,issue
ads_optimization_engine.py,78,AdsOptimizationEngine,"__init__, feed, calculate_score, get_best, optimize",NO_MAIN_METHOD
app/main.py,176,,"home, health, audit, generate, click, conversion, stats, landing, traffic",OK
app/main_debug.py,73,,"root, health, run",OK
auto_scaling_engine.py,122,AutoScalingEngine,"__init__, update_metrics, calculate_score, get_best_product, scaling_decision, _get_low_performers, execute_scaling",NO_MAIN_METHOD
engine/__init__.py,1,,,OK
engine/ai_learning_loop.py,100,AILearningLoop,"__init__, log_event, calculate_score, get_best_product, optimize",NO_MAIN_METHOD
engine/api_connector.py,78,APIConnector,"send_sales_lead, upload_youtube_video, create_pinterest_pin, report","CLASS_WITHOUT_INIT, NO_MAIN_METHOD"
engine/auto_scaling_engine.py,122,AutoScalingEngine,"__init__, update_metrics, calculate_score, get_best_product, scaling_decision, _get_low_performers, execute_scaling",NO_MAIN_METHOD
engine/compliance_engine.py,178,ComplianceEngine,"_text, check_forbidden_terms, check_required_notices, build_compliance_notice, audit_content, apply_compliance, __init__, audit, apply",OK
engine/content_engine.py,7,ContentEngine,generate,CLASS_WITHOUT_INIT
engine/dashboard_live_engine.py,27,DashboardLiveEngine,"__init__, get_live",NO_MAIN_METHOD
engine/data_layer_engine.py,7,DataLayerEngine,load,"CLASS_WITHOUT_INIT, NO_MAIN_METHOD"
engine/landingpage_audit_engine.py,135,LandingpageAuditEngine,"__init__, is_empty, contains_forbidden, audit_product, audit_all",NO_MAIN_METHOD
engine/landingpage_engine_v2.py,8,LandingPageEngineV2,build,"CLASS_WITHOUT_INIT, NO_MAIN_METHOD"
engine/live_data_layer.py,24,LiveDataLayer,"__init__, get_products",NO_MAIN_METHOD
engine/monetization_control_layer.py,93,MonetizationControlLayer,"__init__, track_click, track_conversion, track_revenue, get_report, safe_live_trigger",NO_MAIN_METHOD
engine/monetization_engine.py,59,MonetizationEngine,"build_landing_html, build_affiliate_link, build_pinterest, build_youtube_script","CLASS_WITHOUT_INIT, NO_MAIN_METHOD"
engine/mp4_video_pipeline.py,84,MP4VideoPipeline,"__init__, build_scene_files, render_video, generate_video",NO_MAIN_METHOD
engine/orchestrator_clean_master.py,13,OrchestratorCleanMaster,"__init__, run, run_sheet_audit",OK
engine/output_layer.py,7,OutputLayer,export,"CLASS_WITHOUT_INIT, NO_MAIN_METHOD"
engine/partner_commission_mapper.py,41,PartnerCommissionMapper,"__init__, get, calculate",NO_MAIN_METHOD
engine/product_generation_engine.py,69,ProductGenerationEngine,"__init__, generate_product, expand_category, build_all_products",NO_MAIN_METHOD
engine/product_layer.py,23,ProductLayer,"__init__, get_all_products, get_by_partner, load_product",NO_MAIN_METHOD
engine/profit_engine.py,88,ProfitEngine,"__init__, get_commission_value, process_product, run_all",NO_MAIN_METHOD
engine/publish_engine.py,84,PublishEngine,"route_product, compliance_check, publish",CLASS_WITHOUT_INIT
engine/real_data_connector_v2.py,58,RealDataConnectorV2,"__init__, get_service, read_sheet, get_products",NO_MAIN_METHOD
engine/real_publish_layer.py,10,RealPublishLayer,"__init__, publish_all",NO_MAIN_METHOD
engine/sheet_audit_engine.py,268,SheetAuditEngine,"__init__, load_sheet, is_empty, audit_columns, audit_counts, audit_duplicates, audit_required_fields, run_audit",NO_MAIN_METHOD
engine/tarifcheck_sales_engine.py,12,,test_sales,OK
engine/tracking_engine.py,13,TrackingEngine,track,CLASS_WITHOUT_INIT
engine/video_engine.py,75,VideoEngine,"__init__, generate_script, build_scenes, select_voice, select_style, build_video",NO_MAIN_METHOD
engine/youtube_auto_video_system.py,8,YouTubeAutoVideoSystem,create_script,"CLASS_WITHOUT_INIT, NO_MAIN_METHOD"
engine/youtube_real_api.py,63,YouTubeRealAPI,"__init__, authenticate, upload_video",NO_MAIN_METHOD
google_sheets_connector.py,69,GoogleSheetsConnector,"__init__, _auth, read_products, write_log",NO_MAIN_METHOD
keyword_discovery_engine.py,94,KeywordDiscoveryEngine,"__init__, expand_keyword, discover, to_products",NO_MAIN_METHOD
trend_prediction_engine.py,107,TrendPredictionEngine,"__init__, expand_signal, detect_trends, top_trends, to_products",NO_MAIN_METHOD
youtube_uploader.py,35,YouTubeUploader,"__init__, prepare_upload, upload",NO_MAIN_METHOD
